Avr_L: 24.7269    Avr_b: 6.6345   Avr_Chroma: 10.5791 
Avr_L: 22.6787    Avr_b: 6.0819   Avr_Chroma: 9.6281 
Avr_L: 15.3233    Avr_b: 2.4870   Avr_Chroma: 7.3646 
Avr_L: 24.3870    Avr_b: 6.8386   Avr_Chroma: 10.6811 
Avr_L: 23.2326    Avr_b: 6.2131   Avr_Chroma: 9.8700 
Avr_L: 16.4294    Avr_b: 2.3188   Avr_Chroma: 7.8732 
Avr_L: 24.2034    Avr_b: 7.0075   Avr_Chroma: 10.6999 
Avr_L: 16.6047    Avr_b: 2.2888   Avr_Chroma: 8.1659 
Avr_L: 24.5358    Avr_b: 6.8467   Avr_Chroma: 10.8842 
Avr_L: 16.5308    Avr_b: 2.2174   Avr_Chroma: 7.9922 
Avr_L: 17.4770    Avr_b: 2.0920   Avr_Chroma: 7.9981 
Avr_L: 18.0356    Avr_b: 2.1587   Avr_Chroma: 8.1293 
Avr_L: 21.7330    Avr_b: 7.2456   Avr_Chroma: 10.2542 
Avr_L: 22.1859    Avr_b: 6.9472   Avr_Chroma: 10.1239 
Avr_L: 22.0683    Avr_b: 6.9280   Avr_Chroma: 10.5017 
Avr_L: 21.9241    Avr_b: 6.5815   Avr_Chroma: 10.1697 
Avr_L: 21.4151    Avr_b: 6.6838   Avr_Chroma: 10.1257 
Avr_L: 21.4409    Avr_b: 6.8318   Avr_Chroma: 10.3147 
Avr_L: 17.4892    Avr_b: 4.7773   Avr_Chroma: 9.1031 
Avr_L: 21.7438    Avr_b: 7.1686   Avr_Chroma: 10.4474 
Avr_L: 19.4460    Avr_b: 4.3148   Avr_Chroma: 9.7140 
Avr_L: 19.1982    Avr_b: 4.3492   Avr_Chroma: 9.7784 
Avr_L: 17.5178    Avr_b: 9.1002   Avr_Chroma: 12.4951 
Avr_L: 18.8522    Avr_b: 4.4312   Avr_Chroma: 9.8457 
Avr_L: 18.6438    Avr_b: 9.1709   Avr_Chroma: 12.7605 
Avr_L: 19.2133    Avr_b: 4.2299   Avr_Chroma: 9.7174 
Avr_L: 19.4505    Avr_b: 8.7734   Avr_Chroma: 12.8138 
Avr_L: 20.0352    Avr_b: 4.2284   Avr_Chroma: 9.8858 
Avr_L: 20.4929    Avr_b: 8.4105   Avr_Chroma: 12.7549 
Avr_L: 21.3319    Avr_b: 8.1144   Avr_Chroma: 12.8266 
Avr_L: 14.2435    Avr_b: 2.3540   Avr_Chroma: 6.8626 
Avr_L: 21.5988    Avr_b: 8.2688   Avr_Chroma: 12.8277 
Avr_L: 15.3019    Avr_b: 2.0067   Avr_Chroma: 6.8964 
Avr_L: 20.5499    Avr_b: 8.4581   Avr_Chroma: 12.8513 
Avr_L: 15.4306    Avr_b: 2.0050   Avr_Chroma: 7.1420 
Avr_L: 15.3752    Avr_b: 1.6367   Avr_Chroma: 7.0447 
Avr_L: 15.7033    Avr_b: 1.6938   Avr_Chroma: 6.9073 
Avr_L: 19.0835    Avr_b: 6.4682   Avr_Chroma: 9.2109 
Avr_L: 15.9920    Avr_b: 1.9134   Avr_Chroma: 7.1406 
Avr_L: 20.4411    Avr_b: 6.1681   Avr_Chroma: 9.2316 
Avr_L: 21.2405    Avr_b: 6.0401   Avr_Chroma: 9.1994 
Avr_L: 21.4859    Avr_b: 5.8496   Avr_Chroma: 9.3200 
Avr_L: 21.0638    Avr_b: 5.9081   Avr_Chroma: 9.3514 
Avr_L: 20.7267    Avr_b: 6.0383   Avr_Chroma: 9.4448 
